,0
0,0.11481308410351326
1,0.11481308410351326
2,0.11481308410351326
3,0.11481308410351326
4,0.11481308410351326
5,0.11481308410351326
6,0.11481308410351326
7,0.11481308410351326
8,0.11481308410351326
9,0.11481308410351326
10,0.11481308410351326
11,0.11481308410351326
12,0.11481308410351326
13,0.11481308410351326
14,0.11481308410351326
15,0.11481308410351326
16,0.11481308410351326
17,0.11481308410351326
18,0.11481308410351326
19,0.11481308410351326
20,0.11481308410351326
21,0.11481308410351326
22,0.11481308410351326
23,0.11481308410351326
24,0.11481308410351326
25,0.11481308410351326
26,0.11481308410351326
27,0.11481308410351326
28,0.11481308410351326
29,0.11481308410351326
