PassengerId,Survived
206,0
45,1
822,0
459,1
796,0
119,1
425,0
679,0
270,1
230,0
690,1
321,0
406,0
41,1
25,0
554,0
413,1
513,0
756,1
392,0
602,0
326,1
373,0
377,0
201,0
512,0
601,1
631,0
364,0
144,0
202,0
134,1
431,0
419,0
782,1
705,0
536,1
335,1
273,1
108,0
403,0
307,1
218,0
789,1
160,0
20,1
174,0
311,1
595,0
592,1
164,0
563,0
172,0
871,0
176,0
434,0
462,0
49,0
126,1
125,0
266,0
550,1
589,0
779,0
179,0
107,0
624,0
115,1
42,1
664,0
661,1
762,0
580,0
265,1
757,0
666,0
634,0
532,0
640,0
599,0
220,0
150,0
269,1
670,1
578,1
786,0
82,0
400,1
135,0
223,0
693,0
280,0
102,0
288,0
711,1
256,0
23,1
582,1
564,0
405,0
429,0
848,0
726,0
721,1
637,0
863,1
615,0
199,1
787,0
156,1
190,0
556,0
890,0
827,0
534,0
834,0
279,0
189,0
561,0
375,0
322,0
158,0
524,1
175,0
117,0
810,1
472,0
228,0
330,1
147,0
98,1
493,0
73,0
645,1
303,0
699,0
704,0
639,0
99,1
74,0
157,1
475,0
240,0
801,0
829,0
208,0
29,1
616,1
309,0
382,1
703,0
623,0
26,0
519,1
638,0
360,1
736,0
101,0
165,0
591,0
11,0
217,0
734,0
385,0
854,1
860,0
359,1
448,0
214,0
652,1
192,0
57,1
868,0
531,1
248,1
260,1
354,0
784,0
853,1
409,0
481,0
511,0
610,1
548,0
710,1
153,0
494,0
393,0
824,1
577,1
773,1
745,0
328,1
460,0
222,0
851,0
558,0
47,0
449,1
371,1
196,1
761,0
55,1
573,0
379,0
198,0
396,0
111,0
138,0
312,0
391,1
24,0
818,0
110,1
302,0
104,0
875,1
62,1
154,0
289,0
245,0
681,1
797,0
226,0
857,1
621,0
451,0
424,0
450,0
161,0
743,0
651,0
250,0
540,1
414,0
207,0
828,1
484,0
607,0
185,0
683,0
794,0
13,0
118,0
483,0
421,0
543,0
884,0
877,0
109,0
603,0
575,0
253,0
712,0
397,0
194,1
567,0
204,0
491,0
815,0
219,1
446,1
490,1
112,1
731,1
106,0
480,0
278,0
