,0
0,58617.10336985186
1,59430.333993750726
2,51220.97815506338
3,69665.12990316036
4,63856.631931758966
5,59765.98185630257
6,46151.16043641271
7,45808.45439327748
8,65116.46744064804
9,57815.58618430108
10,54903.64644412657
11,228496.47464633643
12,146795.85806705232
13,40211.184489847095
14,41639.695942628365
15,71092.52937326668
16,55269.7588863041
17,74662.17054738512
18,50293.42860141917
19,70269.59859756613
20,38451.9891060368
21,52262.32689196191
22,63197.10058208241
23,40969.19819837898
24,63438.86642710962
25,73405.43838788121
26,52117.983842437054
27,36171.73858425569
28,57305.773158124015
29,48544.50334524298
