,0
0,43383.39766750959
1,77481.20402832856
2,71039.69510632056
3,84889.60051287696
4,76816.91453609038
5,59100.999980312
6,42717.723413777334
7,38228.164959930524
8,80619.7315423461
9,79230.74403719214
10,61575.23068451279
11,207532.8976536967
12,111325.66290951906
13,37338.913615072204
14,36601.5418044721
15,81856.64627689536
16,71520.52327843911
17,75322.43281014031
18,65464.35695401195
19,55984.9728021748
20,36129.75308101233
21,40651.01167046162
22,81624.37067082486
23,61190.16170172469
24,76572.78307133974
25,63729.080733048104
26,38158.46805747294
27,30775.49432406007
28,26851.944576726004
29,74725.03998060446
